238	212	148	140	132	254	243	218	245	256	161	163	135	171	173	142
205	247	207	211	168	129	249	250	222	216	130	162	167	136	251	170
195	229	234	204	144	166	223	217	255	244	221	174	169	139	176	133
202	197	203	198	232	233	240	215	248	210	141	252	224	183	143	147
235	206	201	165	131	208	241	239	253	214	138	164	137	181	153	179
228	227	199	134	236	178	237	213	246	209	172	177	175	186	185	151
194	225	231	188	155	149	182	220	219	242	146	184	156	158	154	191
196	193	230	226	160	187	145	200	180	157	189	150	190	192	152	159
30	64	58	63	67	101	100	78	15	110	74	77	68	97	66	65
24	31	26	70	73	111	23	11	10	107	75	69	106	99	103	98
29	62	57	124	53	82	20	42	13	86	120	113	79	71	102	105
54	52	56	123	96	19	48	50	5	43	93	125	117	108	104	72
61	27	21	60	25	55	49	8	9	44	46	6	3	112	76	114
32	59	28	51	83	122	33	39	38	14	36	81	121	80	91	85
22	12	18	16	89	128	7	34	2	4	1	95	126	84	37	116
17	45	109	115	94	35	41	40	47	88	127	90	119	118	87	92
